id,title,popularity,release_date
58431,Pride and Prejudice and Zombies,2.840e+01,2016-02-04
2502,The Bourne Supremacy,5.321e+01,2004-07-23
18357,The Country Bears,6.908e+00,2002-07-26
250184,Locker 13,1.905e+00,2014-03-29
39833,Love Me Tender,1.444e+00,1956-11-15
6488,Arachnophobia,1.590e+01,1990-08-09
13362,Taxi to the Dark Side,7.486e-01,2007-04-30
45269,The King's Speech,5.405e+01,2010-09-06
16,Dancer in the Dark,2.202e+01,2000-05-17
2270,Stardust,4.803e+01,2007-08-09
191229,Iguana,2.147e-01,1988-04-01
8850,The Shadow,8.178e+00,1994-07-01
14057,Trust the Man,5.255e+00,2005-09-01
29076,Gun Shy,3.988e+00,2000-02-04
15122,Love Stinks,3.348e+00,1999-09-10
7512,Idiocracy,2.794e+01,2006-09-01
11397,Not Another Teen Movie,2.342e+01,2001-12-07
9454,Ever After: A Cinderella Story,2.199e+01,1998-07-31
46261,Don't Be Afraid of the Dark,1.456e+01,2010-11-06
1259,Notes on a Scandal,1.258e+01,2006-12-25
16172,Simply Irresistible,5.696e+00,1999-02-05
49018,Insidious,5.859e+01,2010-09-13
38810,Dogtooth,2.886e+01,2009-06-01
318846,The Big Short,5.752e+01,2015-12-11
3291,Good Night and Good Luck.,1.772e+01,2005-09-16
8676,Fool's Gold,2.179e+01,2008-02-07
1909,Don Juan DeMarco,8.871e+00,1994-10-01
310,Bruce Almighty,1.097e+02,2003-05-23
9598,Babe,3.437e+01,1995-07-18
3902,I'm Not There.,1.303e+01,2007-10-01
1717,All the King's Men,7.768e+00,2006-09-10
270938,Falcon Rising,6.988e+00,2014-09-05
14054,Snow Angels,4.262e+00,2008-03-07
9916,The Last Sin Eater,2.371e+00,2007-02-09
12228,Inside Deep Throat,3.980e+00,2005-02-11
979,Irreversible,3.248e+01,2002-05-22
18808,Highway,3.420e+00,2002-01-01
4234,Scream 3,2.499e+01,2000-02-03
110415,Snowpiercer,6.424e+01,2013-08-01
10663,The Waterboy,2.384e+01,1998-11-06
10048,Stealth,1.789e+01,2005-07-28
1499,Teenage Mutant Ninja Turtles III,1.021e+01,1993-03-17
10930,The Flower of Evil,1.230e+00,2003-02-09
4477,The Devil's Own,1.535e+01,1997-03-12
146269,The Young Unknowns,4.922e-03,2000-03-12
4147,Road to Perdition,4.908e+01,2002-07-12
24663,The Open Road,1.388e+00,2009-02-07
77174,ParaNorman,3.954e+01,2012-08-03
11452,National Lampoon’s Van Wilder,3.511e+01,2002-03-29
8835,Legally Blonde,2.544e+01,2001-07-13
5072,Severance,1.290e+01,2006-05-19
